Staname,Stanumber,Refdist,LonSta,LatSta,DepthSta
1G,1,1307.56353281898,-6.133,56.667,190
2G,2,1298.23534273729,-6.283,56.683,30
3G,3,1292.40564942374,-6.367,56.708,70
4G,4,1286.63247366146,-6.45,56.733,115
5G,5,1277.48938666502,-6.6,56.733,80
6G,6,1268.34629966858,-6.75,56.733,40
7G,7,1253.10782134119,-7,56.733,140
8G,8,1242.92851781848,-7.167,56.733,170
9G,9,1232.81016820909,-7.333,56.733,160
10G,10,1222.63086468639,-7.5,56.733,215
11G,11,1212.45156116369,-7.667,56.733,110
12G,12,1201.96203319506,-7.833,56.758,50
13G,13,1191.42026780043,-8,56.783,110
14G,14,1180.88503680959,-8.167,56.808,120
T,15,1170.28889756204,-8.333,56.837,130
15G,16,1158.92904037627,-8.5,56.883,125
S,17,1140.21838880631,-8.783,56.95,125
R,18,1125.95044975225,-9,57,300
Q,19,1111.6987638504,-9.217,57.05,500
Q1,20,1105.04885023617,-9.317,57.075,800
P,21,1098.40263404158,-9.417,57.1,1400
O,22,1080.45151912432,-9.7,57.15,1900
N,23,1057.44863106107,-10.05,57.233,2100
M,24,1036.09970966971,-10.383,57.3,2300
L,25,1017.51030621173,-10.667,57.367,2000
K,26,1004.98258370098,-10.867,57.4,800
J,27,990.916114736166,-11.083,57.45,550
I,28,976.802337560184,-11.317,57.467,750
H,29,963.775388196627,-11.533,57.483,2020
G,30,944.816112154296,-11.85,57.492,1800
F,31,920.868130769674,-12.25,57.508,1800
E,32,897.845843047029,-12.633,57.533,1650
D,33,883.853506421104,-12.867,57.542,1000
C,34,875.873120101474,-13,57.55,330
B,35,855.933634197848,-13.333,57.567,200
A,36,837.970828714088,-13.633,57.583,100
IB1,37,819.545111972131,-13.9,57.667,150
IB1A,38,793.995224990068,-14.25,57.801,220
IB2,39,768.27939957934,-14.583,57.95,440
IB2A,40,742.273675024082,-14.96,58.072,600
IB3,41,712.789677405983,-15.333,58.25,660
IB3A,42,690.768345901829,-15.666,58.343,1060
IB4,43,664.651459068452,-16,58.5,1190
IB4A,44,648.452785421836,-16.249,58.566,1120
IB4B,45,630.449315163777,-16.501,58.661,1170
IB4C,46,612.551946037453,-16.75,58.757,1140
IB5,47,592.479887802376,-17,58.883,1160
IB6,48,579.609352138896,-17.183,58.95,890
IB7,49,546.290424805128,-17.667,59.117,970
IB8,50,530.912694869861,-17.883,59.2,1570
IB9,51,506.144640528667,-18.233,59.333,1870
IB10,52,493.339669117095,-18.417,59.4,2420
IB11,53,443.986856105631,-19.117,59.667,2690
IB11A,54,417.360064112562,-19.5,59.809,2700
IB12,55,382.336595350603,-20,60,2730
IB12A,56,354.556595350603,-20,60.25,2600
IB13,57,326.776595350603,-20,60.5,2530
IB13A,58,298.996595350603,-20,60.75,2500
IB14,59,271.216595350603,-20,61,2409
IB15,60,243.436595350603,-20,61.25,2380
IB16,61,215.656595350603,-20,61.5,2230
IB16A,62,187.876595350603,-20,61.75,1800
IB17,63,160.096595350603,-20,62,1800
IB18S,64,122.104574100478,-19.834,62.333,1790
IB19S,65,84.0256998800135,-19.668,62.667,1670
IB20S,66,55.6168306566349,-19.551,62.917,1400
IB21S,67,25.3751105095541,-19.916,63.133,1030
IB22S,68,13.4420441911282,-20.067,63.216,670
IB23S,69,0,-20.215,63.317,120
